Gene,Biological_Role
SMPD4,"sphingomyelin phosphodiesterase 4: The protein encoded by this gene is a sphingomyelinase that catalyzes the hydrolysis of membrane sphingomyelin to form phosphorylcholine and ceramide. This gene is activated by DNA damage, cellular stress, and tumor necrosis factor, but it is downregulated by wild-type p53. The encoded protein localizes to the endoplasmic reticulum and Golgi network. [provided by RefSeq, Mar 2017]"
SMUG1,"single-strand-selective monofunctional uracil-DNA glycosylase 1: This gene encodes a protein that participates in base excision repair by removing uracil from single- and double-stranded DNA. Many alternatively spliced transcript variants exist for this gene; the full-length nature is known for some but not all of the variants. [provided by RefSeq, Aug 2011]"
SMURF1,"SMAD specific E3 ubiquitin protein ligase 1: This gene encodes a ubiquitin ligase that is specific for receptor-regulated SMAD proteins in the bone morphogenetic protein (BMP) pathway. This protein plays a key roll in the regulation of cell motility, cell signalling, and cell polarity. Alternative splicing results in multiple transcript variants encoding different isoforms.[provided by RefSeq, Dec 2010]"
SMURF2,"SMAD specific E3 ubiquitin protein ligase 2: Enables SMAD binding activity; identical protein binding activity; and ubiquitin-protein transferase activity. Involved in negative regulation of transforming growth factor beta receptor signaling pathway; positive regulation of trophoblast cell migration; and ubiquitin-dependent SMAD protein catabolic process. Located in nuclear speck. Part of ubiquitin ligase complex. [provided by Alliance of Genome Resources, Apr 2022]"
SMYD3,"SET and MYND domain containing 3: This gene encodes a histone methyltransferase which functions in RNA polymerase II complexes by an interaction with a specific RNA helicase. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
SNAI1,"snail family transcriptional repressor 1: The Drosophila embryonic protein snail is a zinc finger transcriptional repressor which downregulates the expression of ectodermal genes within the mesoderm. The nuclear protein encoded by this gene is structurally similar to the Drosophila snail protein, and is also thought to be critical for mesoderm formation in the developing embryo. At least two variants of a similar processed pseudogene have been found on chromosome 2. [provided by RefSeq, Jul 2008]"
SNAI2,"snail family transcriptional repressor 2: This gene encodes a member of the Snail family of C2H2-type zinc finger transcription factors. The encoded protein acts as a transcriptional repressor that binds to E-box motifs and is also likely to repress E-cadherin transcription in breast carcinoma. This protein is involved in epithelial-mesenchymal transitions and has antiapoptotic activity. Mutations in this gene may be associated with sporatic cases of neural tube defects. [provided by RefSeq, Jul 2008]"
SNAP23,"synaptosome associated protein 23: Specificity of vesicular transport is regulated, in part, by the interaction of a vesicle-associated membrane protein termed synaptobrevin/VAMP with a target compartment membrane protein termed syntaxin. These proteins, together with SNAP25 (synaptosome-associated protein of 25 kDa), form a complex which serves as a binding site for the general membrane fusion machinery. Synaptobrevin/VAMP and syntaxin are believed to be involved in vesicular transport in most, if not all cells, while SNAP25 is present almost exclusively in the brain, suggesting that a ubiquitously expressed homolog of SNAP25 exists to facilitate transport vesicle/target membrane fusion in other tissues. The protein encoded by this gene is structurally and functionally similar to SNAP25 and binds tightly to multiple syntaxins and synaptobrevins/VAMPs. It is an essential component of the high affinity receptor for the general membrane fusion machinery and is an important regulator of transport vesicle docking and fusion. Two alternative transcript variants encoding different protein isoforms have been described for this gene. [provided by RefSeq, Jul 2008]"
SNAP29,"synaptosome associated protein 29: This gene, a member of the SNAP25 gene family, encodes a protein involved in multiple membrane trafficking steps. Two other members of this gene family, SNAP23 and SNAP25, encode proteins that bind a syntaxin protein and mediate synaptic vesicle membrane docking and fusion to the plasma membrane. The protein encoded by this gene binds tightly to multiple syntaxins and is localized to intracellular membrane structures rather than to the plasma membrane. While the protein is mostly membrane-bound, a significant fraction of it is found free in the cytoplasm. Use of multiple polyadenylation sites has been noted for this gene. [provided by RefSeq, Jul 2008]"
SNCA,"synuclein alpha: Alpha-synuclein is a member of the synuclein family, which also includes beta- and gamma-synuclein. Synucleins are abundantly expressed in the brain and alpha- and beta-synuclein inhibit phospholipase D2 selectively. SNCA may serve to integrate presynaptic signaling and membrane trafficking. Defects in SNCA have been implicated in the pathogenesis of Parkinson disease. SNCA peptides are a major component of amyloid plaques in the brains of patients with Alzheimer's disease. Alternatively spliced transcripts encoding different isoforms have been identified for this gene. [provided by RefSeq, Feb 2016]"
SNCG,"synuclein gamma: This gene encodes a member of the synuclein family of proteins which are believed to be involved in the pathogenesis of neurodegenerative diseases. Mutations in this gene have also been associated with breast tumor development. [provided by RefSeq, Jan 2010]"
SND1,"staphylococcal nuclease and tudor domain containing 1: This gene encodes a transcriptional co-activator that interacts with the acidic domain of Epstein-Barr virus nuclear antigen 2 (EBNA 2), a transcriptional activator that is required for B-lymphocyte transformation. Other transcription factors that interact with this protein are signal transducers and activators of transcription, STATs. This protein is also thought to be essential for normal cell growth. A similar protein in mammals and other organisms is a component of the RNA-induced silencing complex (RISC). [provided by RefSeq, Jul 2016]"
SNHG1,"small nucleolar RNA host gene 1: This locus represents a small nucleolar RNA host gene that produces multiple alternatively spliced long non-coding RNAs. This gene is upregulated in cancers and is thought to act as promoter of cell proliferation. This transcript negatively regulates tumor suppressor genes such as tumor protein p53. Expression of this locus may be a marker of tumor progression. [provided by RefSeq, Dec 2017]"
SNHG11,"small nucleolar RNA host gene 11: This gene is a member of the non-protein-coding multiple snoRNA host gene family. Two snoRNAs are derived from the introns of this host gene. Although many alternative splice variants have been observed, the gene is thought to have no protein-coding potential. [provided by RefSeq, Jul 2008]"
SNHG12,"small nucleolar RNA host gene 12: This gene produces a long RNA that is overexpressed in tumor cells. This RNA may promote tumorigenesis by acting as a sponge for microRNAs. [provided by RefSeq, Dec 2017]"
SNHG14,"small nucleolar RNA host gene 14: This gene is located within the Prader-Willi critical region and produces a long, spliced paternally-imprinted RNA that initiates within a common upstream promoter region shared by the SNRPN (small nuclear ribonucleoprotein polypeptide N) and SNURF genes. This transcript serves as a host RNA for the small nucleolar RNA, C/D box 115 and 116 clusters. This RNA extends in antisense into the region of the ubiquitin protein ligase E3A gene (UBE3A), and is thought to regulate imprinted expression of UBE3A in the brain. This transcript undergoes extensive alternative splicing, and may initiate and terminate at multiple locations within this genomic region. The full-length structure of all splice forms is not determined. [provided by RefSeq, Mar 2017]"
SNHG15,"small nucleolar RNA host gene 15: This gene represents a snoRNA host gene that produces a short-lived long non-coding RNA. This non-coding RNA is upregulated in tumor cells and may contribute to cell proliferation by acting as a sponge for microRNAs. [provided by RefSeq, Dec 2017]"
SNHG16,small nucleolar RNA host gene 16
SNHG20,small nucleolar RNA host gene 20
SNHG3,small nucleolar RNA host gene 3
SNHG4,small nucleolar RNA host gene 4
SNHG5,"small nucleolar RNA host gene 5: This gene represent a snoRNA host gene and produces a long non-coding RNA. This RNA may regulate gene expression by acting as a sponge for microRNAs. This transcript may also stabilize mRNAs by blocking degradation by staufen double-stranded RNA binding protein 1. [provided by RefSeq, Dec 2017]"
SNHG6,small nucleolar RNA host gene 6
SNHG7,small nucleolar RNA host gene 7
SNHG8,small nucleolar RNA host gene 8
SNHG9,small nucleolar RNA host gene 9
SNIP1,"Smad nuclear interacting protein 1: This gene encodes a protein that contains a coiled-coil motif and C-terminal forkhead-associated (FHA) domain. The encoded protein functions as a transcriptional coactivator that increases c-Myc activity and inhibits transforming growth factor beta (TGF-beta) and nuclear factor kappa-B (NF-kB) signaling. The encoded protein also regulates the stability of cyclin D1 mRNA, and may play a role in cell proliferation and cancer progression. Mutations in this gene are a cause of psychomotor retardation, epilepsy, and craniofacial dysmorphism (PMRED). [provided by RefSeq, Mar 2012]"
SNORA56,"small nucleolar RNA, H/ACA box 56: Biosynthesis of stable cellular RNAs such as tRNAs, rRNAs, snRNAs, and snoRNAs is aided by covalent nucleotide modification after transcription. The modified nucleotides are involved in correct RNA folding, establishment of correct RNA-RNA and RNA-protein interactions, and in the correct function of mature RNAs. The RNA encoded by this gene is thought to mediate the pseudouridylation of residue U1664 of 28S rRNA. [provided by RefSeq, Feb 2009]"
SNORA80E,"small nucleolar RNA, H/ACA box 80E"
SNORD76,"small nucleolar RNA, C/D box 76"
SNPH,"syntaphilin: Syntaxin-1, synaptobrevin/VAMP, and SNAP25 interact to form the SNARE complex, which is required for synaptic vesicle docking and fusion. The protein encoded by this gene is membrane-associated and inhibits SNARE complex formation by binding free syntaxin-1. Expression of this gene appears to be brain-specific. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Dec 2015]"
SNRK,"SNF related kinase: SNRK is a member of the sucrose nonfermenting (SNF)-related kinase family of serine/threonine kinases (Kertesz et al., 2002 [PubMed 12234663]).[supplied by OMIM, Apr 2009]"
SNRNP200,"small nuclear ribonucleoprotein U5 subunit 200: Pre-mRNA splicing is catalyzed by the spliceosome, a complex of specialized RNA and protein subunits that removes introns from a transcribed pre-mRNA segment. The spliceosome consists of small nuclear RNA proteins (snRNPs) U1, U2, U4, U5 and U6, together with approximately 80 conserved proteins. U5 snRNP contains nine specific proteins. This gene encodes one of the U5 snRNP-specific proteins. This protein belongs to the DEXH-box family of putative RNA helicases. It is a core component of U4/U6-U5 snRNPs and appears to catalyze an ATP-dependent unwinding of U4/U6 RNA duplices. Mutations in this gene cause autosomal-dominant retinitis pigmentosa. Alternatively spliced transcript variants encoding different isoforms have been found, but the full-length nature of these variants has not been determined. [provided by RefSeq, Mar 2010]"
SNRPB,"small nuclear ribonucleoprotein polypeptides B and B1: The protein encoded by this gene is one of several nuclear proteins that are found in common among U1, U2, U4/U6, and U5 small ribonucleoprotein particles (snRNPs). These snRNPs are involved in pre-mRNA splicing, and the encoded protein may also play a role in pre-mRNA splicing or snRNP structure. Autoantibodies from patients with systemic lupus erythematosus frequently recognize epitopes on the encoded protein. Two transcript variants encoding different isoforms (B and B') have been found for this gene. [provided by RefSeq, Jul 2008]"
SNW1,"SNW domain containing 1: This gene, a member of the SNW gene family, encodes a coactivator that enhances transcription from some Pol II promoters. This coactivator can bind to the ligand-binding domain of the vitamin D receptor and to retinoid receptors to enhance vitamin D-, retinoic acid-, estrogen-, and glucocorticoid-mediated gene expression. It can also function as a splicing factor by interacting with poly(A)-binding protein 2 to directly control the expression of muscle-specific genes at the transcriptional level. Finally, the protein may be involved in oncogenesis since it interacts with a region of SKI oncoproteins that is required for transforming activity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016]"
SNX10,"sorting nexin 10: This gene encodes a member of the sorting nexin family. Members of this family contain a phox (PX) domain, which is a phosphoinositide binding domain, and are involved in intracellular trafficking. This protein does not contain a coiled coil region, like some family members. This gene may play a role in regulating endosome homeostasis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2010]"
SNX6,"sorting nexin 6: This gene encodes a member of the sorting nexin family. Members of this family contain a phox (PX) domain, which is a phosphoinositide binding domain, and are involved in intracellular trafficking. This protein associates with the long isoform of the leptin receptor, the transforming growth factor-beta family of receptor serine-threonine kinases, and with receptor tyrosine kinases for platelet-derived growth factor, insulin, and epidermal growth factor. This protein may form oligomeric complexes with family member proteins through interactions of both the PX domain and the coiled coil regions of the molecules. Translocation of this protein from the cytoplasm to the nucleus occurs after binding to proviral integration site 1 protein. This gene results in two transcripts encoding two distinct isoforms. [provided by RefSeq, Jul 2008]"
SOAT1,"sterol O-acyltransferase 1: The protein encoded by this gene belongs to the acyltransferase family. It is located in the endoplasmic reticulum, and catalyzes the formation of fatty acid-cholesterol esters. This gene has been implicated in the formation of beta-amyloid and atherosclerotic plaques by controlling the equilibrium between free cholesterol and cytoplasmic cholesteryl esters. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Nov 2011]"
SOCS1,"suppressor of cytokine signaling 1: This gene encodes a member of the STAT-induced STAT inhibitor (SSI), also known as suppressor of cytokine signaling (SOCS), family. SSI family members are cytokine-inducible negative regulators of cytokine signaling. The expression of this gene can be induced by a subset of cytokines, including IL2, IL3 erythropoietin (EPO), CSF2/GM-CSF, and interferon (IFN)-gamma. The protein encoded by this gene functions downstream of cytokine receptors, and takes part in a negative feedback loop to attenuate cytokine signaling. Knockout studies in mice suggested the role of this gene as a modulator of IFN-gamma action, which is required for normal postnatal growth and survival. [provided by RefSeq, Jul 2008]"
SOCS2,"suppressor of cytokine signaling 2: This gene encodes a member of the suppressor of cytokine signaling (SOCS) family. SOCS family members are cytokine-inducible negative regulators of cytokine receptor signaling via the Janus kinase/signal transducer and activation of transcription pathway (the JAK/STAT pathway). SOCS family proteins interact with major molecules of signaling complexes to block further signal transduction, in part, by proteasomal depletion of receptors or signal-transducing proteins via ubiquitination. The expression of this gene can be induced by a subset of cytokines, including erythropoietin, GM-CSF, IL10, interferon (IFN)-gamma and by cytokine receptors such as growth horomone receptor. The protein encoded by this gene interacts with the cytoplasmic domain of insulin-like growth factor-1 receptor (IGF1R) and is thought to be involved in the regulation of IGF1R mediated cell signaling. This gene has pseudogenes on chromosomes 20 and 22. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2012]"
SOCS3,"suppressor of cytokine signaling 3: This gene encodes a member of the STAT-induced STAT inhibitor (SSI), also known as suppressor of cytokine signaling (SOCS), family. SSI family members are cytokine-inducible negative regulators of cytokine signaling. The expression of this gene is induced by various cytokines, including IL6, IL10, and interferon (IFN)-gamma. The protein encoded by this gene can bind to JAK2 kinase, and inhibit the activity of JAK2 kinase. Studies of the mouse counterpart of this gene suggested the roles of this gene in the negative regulation of fetal liver hematopoiesis, and placental development. [provided by RefSeq, Jul 2008]"
SOCS5,"suppressor of cytokine signaling 5: The protein encoded by this gene contains a SH2 domain and a SOCS BOX domain. The protein thus belongs to the suppressor of cytokine signaling (SOCS) family, also known as STAT-induced STAT inhibitor (SSI) protein family. SOCS family members are known to be cytokine-inducible negative regulators of cytokine signaling. The specific function of this protein has not yet been determined. Two alternatively spliced transcript variants encoding an identical protein have been reported. [provided by RefSeq, Jul 2008]"
SOCS6,"suppressor of cytokine signaling 6: The protein encoded by this gene contains a SH2 domain and a CIS homolog domain. The protein thus belongs to the cytokine-induced STAT inhibitor (CIS), also known as suppressor of cytokine signaling (SOCS) or STAT-induced STAT inhibitor (SSI), protein family. CIS family members are known to be cytokine-inducible negative regulators of cytokine signaling. The expression of this gene can be induced by GM-CSF and EPO in hematopoietic cells. A high expression level of this gene was found in factor-independent chronic myelogenous leukemia (CML) and erythroleukemia (HEL) cell lines. [provided by RefSeq, Jul 2008]"
SOD1,"superoxide dismutase 1: The protein encoded by this gene binds copper and zinc ions and is one of two isozymes responsible for destroying free superoxide radicals in the body. The encoded isozyme is a soluble cytoplasmic protein, acting as a homodimer to convert naturally-occuring but harmful superoxide radicals to molecular oxygen and hydrogen peroxide. The other isozyme is a mitochondrial protein. In addition, this protein contains an antimicrobial peptide that displays antibacterial, antifungal, and anti-MRSA activity against E. coli, E. faecalis, S. aureus, S. aureus MRSA LPV+, S. agalactiae, and yeast C. krusei. Mutations in this gene have been implicated as causes of familial amyotrophic lateral sclerosis. Rare transcript variants have been reported for this gene. [provided by RefSeq, Jul 2020]"
SOD2,"superoxide dismutase 2: This gene is a member of the iron/manganese superoxide dismutase family. It encodes a mitochondrial protein that forms a homotetramer and binds one manganese ion per subunit. This protein binds to the superoxide byproducts of oxidative phosphorylation and converts them to hydrogen peroxide and diatomic oxygen. Mutations in this gene have been associated with idiopathic cardiomyopathy (IDC), premature aging, sporadic motor neuron disease, and cancer. Alternative splicing of this gene results in multiple transcript variants. A related pseudogene has been identified on chromosome 1. [provided by RefSeq, Apr 2016]"
SOD3,"superoxide dismutase 3: This gene encodes a member of the superoxide dismutase (SOD) protein family. SODs are antioxidant enzymes that catalyze the conversion of superoxide radicals into hydrogen peroxide and oxygen, which may protect the brain, lungs, and other tissues from oxidative stress. Proteolytic processing of the encoded protein results in the formation of two distinct homotetramers that differ in their ability to interact with the extracellular matrix (ECM). Homotetramers consisting of the intact protein, or type C subunit, exhibit high affinity for heparin and are anchored to the ECM. Homotetramers consisting of a proteolytically cleaved form of the protein, or type A subunit, exhibit low affinity for heparin and do not interact with the ECM. A mutation in this gene may be associated with increased heart disease risk. [provided by RefSeq, Oct 2015]"
SON,"SON DNA and RNA binding protein: This gene encodes a protein that contains multiple simple repeats. The encoded protein binds RNA and promotes pre-mRNA splicing, particularly of transcripts with poor splice sites. The protein also recognizes a specific DNA sequence found in the human hepatitis B virus (HBV) and represses HBV core promoter activity. There is a pseudogene for this gene on chromosome 1. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"
SORBS2,"sorbin and SH3 domain containing 2: Arg and c-Abl represent the mammalian members of the Abelson family of non-receptor protein-tyrosine kinases. They interact with the Arg/Abl binding proteins via the SH3 domains present in the carboxy end of the latter group of proteins. This gene encodes the sorbin and SH3 domain containing 2 protein. It has three C-terminal SH3 domains and an N-terminal sorbin homology (SoHo) domain that interacts with lipid raft proteins. The subcellular localization of this protein in epithelial and cardiac muscle cells suggests that it functions as an adapter protein to assemble signaling complexes in stress fibers, and that it is a potential link between Abl family kinases and the actin cytoskeleton. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]"
SORL1,"sortilin related receptor 1: This gene encodes a mosaic protein that belongs to at least two families: the vacuolar protein sorting 10 (VPS10) domain-containing receptor family, and the low density lipoprotein receptor (LDLR) family. The encoded protein also contains fibronectin type III repeats and an epidermal growth factor repeat. The encoded preproprotein is proteolytically processed to generate the mature receptor, which likely plays roles in endocytosis and sorting. Mutations in this gene may be associated with Alzheimer's disease. [provided by RefSeq, Feb 2016]"
SORT1,"sortilin 1: This gene encodes a member of the VPS10-related sortilin family of proteins. The encoded preproprotein is proteolytically processed by furin to generate the mature receptor. This receptor plays a role in the trafficking of different proteins to either the cell surface, or subcellular compartments such as lysosomes and endosomes. Expression levels of this gene may influence the risk of myocardial infarction in human patients. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]"
SOS1,"SOS Ras/Rac guanine nucleotide exchange factor 1: This gene encodes a protein that is a guanine nucleotide exchange factor for RAS proteins, membrane proteins that bind guanine nucleotides and participate in signal transduction pathways. GTP binding activates and GTP hydrolysis inactivates RAS proteins. The product of this gene may regulate RAS proteins by facilitating the exchange of GTP for GDP. Mutations in this gene are associated with gingival fibromatosis 1 and Noonan syndrome type 4. [provided by RefSeq, Jul 2008]"
SOST,"sclerostin: Sclerostin is a secreted glycoprotein with a C-terminal cysteine knot-like (CTCK) domain and sequence similarity to the DAN (differential screening-selected gene aberrative in neuroblastoma) family of bone morphogenetic protein (BMP) antagonists. Loss-of-function mutations in this gene are associated with an autosomal-recessive disorder, sclerosteosis, which causes progressive bone overgrowth. A deletion downstream of this gene, which causes reduced sclerostin expression, is associated with a milder form of the disorder called van Buchem disease. [provided by RefSeq, Jul 2008]"
SOX11,"SRY-box transcription factor 11: This intronless gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. The protein may function in the developing nervous system and play a role in tumorigenesis. [provided by RefSeq, Jul 2008]"
SOX15,"SRY-box transcription factor 15: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. [provided by RefSeq, Jul 2008]"
SOX17,"SRY-box transcription factor 17: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. [provided by RefSeq, Jul 2008]"
SOX18,"SRY-box transcription factor 18: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. This protein plays a role in hair, blood vessel, and lymphatic vessel development. Mutations in this gene have been associated with recessive and dominant forms of hypotrichosis-lymphedema-telangiectasia. [provided by RefSeq, Jul 2008]"
SOX2,"SRY-box transcription factor 2: This intronless gene encodes a member of the SRY-related HMG-box (SOX) family of transcription factors involved in the regulation of embryonic development and in the determination of cell fate. The product of this gene is required for stem-cell maintenance in the central nervous system, and also regulates gene expression in the stomach. Mutations in this gene have been associated with optic nerve hypoplasia and with syndromic microphthalmia, a severe form of structural eye malformation. This gene lies within an intron of another gene called SOX2 overlapping transcript (SOX2OT). [provided by RefSeq, Jul 2008]"
SOX21-AS1,SOX21 antisense divergent transcript 1
SOX2-OT,"SOX2 overlapping transcript: This gene produces alternatively spliced long non-coding RNAs. These RNAs were observed to be upregulated in tumor cells and positively correlated to expression of the SRY-box 2 gene. Overexpression of these transcripts may promote cell proliferation. [provided by RefSeq, Dec 2017]"
SOX3,"SRY-box transcription factor 3: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. Mutations in this gene have been associated with X-linked cognitive disability with growth hormone deficiency. [provided by RefSeq, Jul 2008]"
SOX30,"SRY-box transcription factor 30: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein acts as a transcriptional regulator when present in a complex with other proteins. It can activate p53 transcription to promote tumor cell apoptosis in lung cancer. The protein may be involved in the differentiation of developing male germ cells. Alternative splicing of this gene results in multiple transcript variants. A related pseudogene has been identified on chromosome 5. [provided by RefSeq, Apr 2015]"
SOX4,"SRY-box transcription factor 4: This intronless gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins, such as syndecan binding protein (syntenin). The protein may function in the apoptosis pathway leading to cell death as well as to tumorigenesis and may mediate downstream effects of parathyroid hormone (PTH) and PTH-related protein (PTHrP) in bone development. The solution structure has been resolved for the HMG-box of a similar mouse protein. [provided by RefSeq, Jul 2008]"
SOX5,"SRY-box transcription factor 5: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. The encoded protein may play a role in chondrogenesis. A pseudogene of this gene is located on chromosome 8. Multiple transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]"
SOX6,"SRY-box transcription factor 6: This gene encodes a member of the D subfamily of sex determining region y-related transcription factors that are characterized by a conserved DNA-binding domain termed the high mobility group box and by their ability to bind the minor groove of DNA. The encoded protein is a transcriptional activator that is required for normal development of the central nervous system, chondrogenesis and maintenance of cardiac and skeletal muscle cells. The encoded protein interacts with other family members to cooperatively activate gene expression. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Mar 2009]"
SOX7,"SRY-box transcription factor 7: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins. The protein may play a role in tumorigenesis. A similar protein in mice is involved in the regulation of the wingless-type MMTV integration site family (Wnt) pathway. [provided by RefSeq, Jul 2008]"
SOX8,"SRY-box transcription factor 8: This gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional activator after forming a protein complex with other proteins. This protein may be involved in brain development and function. Haploinsufficiency for this protein may contribute to the cognitive disability found in an alpha-thalassemia-related syndrome (ART-16). This protein is also highly expressed in the majority of human hepatocellular carcinomas and promotes cellular proliferation and enhanced tumor growth. [provided by RefSeq, Jul 2017]"
SOX9,"SRY-box transcription factor 9: The protein encoded by this gene recognizes the sequence CCTTGAG along with other members of the HMG-box class DNA-binding proteins. It acts during chondrocyte differentiation and, with steroidogenic factor 1, regulates transcription of the anti-Muellerian hormone (AMH) gene. Deficiencies lead to the skeletal malformation syndrome campomelic dysplasia, frequently with sex reversal. [provided by RefSeq, Jul 2008]"
SP1,"Sp1 transcription factor: The protein encoded by this gene is a zinc finger transcription factor that binds to GC-rich motifs of many promoters. The encoded protein is involved in many cellular processes, including cell differentiation, cell growth, apoptosis, immune responses, response to DNA damage, and chromatin remodeling. Post-translational modifications such as phosphorylation, acetylation, glycosylation, and proteolytic processing significantly affect the activity of this protein, which can be an activator or a repressor. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2014]"
SP100,"SP100 nuclear antigen: This gene encodes a subnuclear organelle and major component of the PML (promyelocytic leukemia)-SP100 nuclear bodies. PML and SP100 are covalently modified by the SUMO-1 modifier, which is considered crucial to nuclear body interactions. The encoded protein binds heterochromatin proteins and is thought to play a role in tumorigenesis, immunity, and gene regulation. Alternatively spliced variants have been identified for this gene; one of which encodes a high-mobility group protein. [provided by RefSeq, Aug 2011]"
SP3,"Sp3 transcription factor: This gene belongs to a family of Sp1 related genes that encode transcription factors that regulate transcription by binding to consensus GC- and GT-box regulatory elements in target genes. This protein contains a zinc finger DNA-binding domain and several transactivation domains, and has been reported to function as a bifunctional transcription factor that either stimulates or represses the transcription of numerous genes. Transcript variants encoding different isoforms have been described for this gene, and one has been reported to initiate translation from a non-AUG (AUA) start codon. Additional isoforms, resulting from the use of alternate downstream translation initiation sites, have also been noted. A related pseudogene has been identified on chromosome 13. [provided by RefSeq, Feb 2010]"
SP4,"Sp4 transcription factor: The protein encoded by this gene is a transcription factor that can bind to the GC promoter region of a variety of genes, including those of the photoreceptor signal transduction system. The encoded protein binds to the same sites in promoter CpG islands as does the transcription factor SP1, although its expression is much more restricted compared to that of SP1. This gene may be involved in bipolar disorder and schizophrenia. [provided by RefSeq, May 2016]"
SP7,"Sp7 transcription factor: This gene encodes a member of the Sp subfamily of Sp/XKLF transcription factors. Sp family proteins are sequence-specific DNA-binding proteins characterized by an amino-terminal trans-activation domain and three carboxy-terminal zinc finger motifs. This protein is a bone specific transcription factor and is required for osteoblast differentiation and bone formation.[provided by RefSeq, Jul 2010]"
SP8,"Sp8 transcription factor: The protein encoded by this gene is an SP family transcription factor that in mouse has been shown to be essential for proper limb development. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2011]"
SPAAR,"small regulatory polypeptide of amino acid response: Involved in cellular response to amino acid stimulus and negative regulation of TORC1 signaling. Located in late endosome membrane. Is integral component of lysosomal membrane. Colocalizes with lysosomal proton-transporting V-type ATPase complex. [provided by Alliance of Genome Resources, Apr 2022]"
SPAG5,"sperm associated antigen 5: This gene encodes a protein associated with the mitotic spindle apparatus. The encoded protein may be involved in the functional and dynamic regulation of mitotic spindles. [provided by RefSeq, Jul 2008]"
SPAG6,"sperm associated antigen 6: The correlation of anti-sperm antibodies with cases of unexplained infertility implicates a role for these antibodies in blocking fertilization. Improved diagnosis and treatment of immunologic infertility, as well as identification of proteins for targeted contraception, are dependent on the identification and characterization of relevant sperm antigens. The protein expressed by this gene is recognized by anti-sperm antibodies from an infertile man. This protein localizes to the tail of permeabilized human sperm and contains eight contiguous armadillo repeats, a motif known to mediate protein-protein interactions. Studies in mice suggest that this protein is involved in sperm flagellar motility and maintenance of the structural integrity of mature sperm. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
SPAG9,"sperm associated antigen 9: This gene encodes a member of the cancer testis antigen gene family. The encoded protein functions as a scaffold protein that structurally organizes mitogen-activated protein kinases and mediates c-Jun-terminal kinase signaling. This protein also binds to kinesin-1 and may be involved in microtubule-based membrane transport. This protein may play a role in tumor growth and development. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Oct 2011]"
SPARC,"secreted protein acidic and cysteine rich: This gene encodes a cysteine-rich acidic matrix-associated protein. The encoded protein is required for the collagen in bone to become calcified but is also involved in extracellular matrix synthesis and promotion of changes to cell shape. The gene product has been associated with tumor suppression but has also been correlated with metastasis based on changes to cell shape which can promote tumor cell invasion. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2015]"
